id,pet_name,service,submission_date,provider_id,unit,authstatus,auto_approved,clinical_reviewer,pet_id
001d0f43-33a2-4add-b8a8-2b32b73ef318,Sophie,Vaccination,2024-02-24 14:26:19,1008,1,Approved,FALSE,,PET-1953
003031d6-cf95-4c0c-b0f2-06c89dff726f,Harper,Lab Test,2023-11-26 14:26:19,1006,3,Approved,FALSE,,PET-8260
003fae46-1e76-4aba-8670-95d9dabf1848,Gunther,Vaccination,2024-07-17 14:26:19,1002,4,Approved,FALSE,,PET-1854
004389e2-75b9-484d-ab9b-cd9b00e8af4f,Buddy,X-ray,2024-04-25 14:26:19,1003,3,Denied,FALSE,,PET-7814
004e13f1-d8ed-4e32-8d3d-886764f7835b,Roxy,Dental Cleaning,2023-09-25 14:26:19,1019,1,Denied,FALSE,,PET-4027
0063b8f5-a902-4999-badd-90a94957bb8a,Taz,X-ray,2024-05-27 14:26:19,1008,3,Denied,FALSE,,PET-9503
006b52b2-c6cf-4e6b-b8bf-abb99a06248f,Dixie,X-ray,2023-12-22 14:26:19,1006,2,Denied,FALSE,Ellen Atkinson,PET-7730
00714849-c82e-43a3-b1b5-46ecc5163991,Gunner,Check-up,2023-11-01 14:26:19,1016,1,Approved,FALSE,,PET-2366
0072266b-e7e7-4e2e-862d-1ec61c1bc1f7,Buster,Dental Cleaning,2024-01-31 14:26:19,1005,1,Approved,FALSE,,PET-2876
00782d5e-0960-400c-9fae-1c4cb16bd091,Jake,Lab Test,2024-06-12 14:26:19,1020,3,Approved,TRUE,,PET-9578
007e91a5-6260-4d69-bd60-1e3e0d8e9677,Ace,Lab Test,2023-12-23 14:26:19,1008,1,Approved,TRUE,,PET-2923
00935237-a28e-4835-88ec-ddf156c0f424,Nova,Lab Test,2023-10-13 14:26:19,1002,2,Approved,FALSE,,PET-4894
00d41e65-bb66-42d9-8d86-d1ec2988ec7e,Wally,Check-up,2024-02-15 14:26:19,1019,1,Approved,FALSE,Azul Acosta,PET-3702
00dcb9e5-243d-4a14-ba91-82087348b9fa,Cash,Lab Test,2024-02-27 14:26:19,1006,3,Approved,FALSE,,PET-7789
0101cd0f-46ed-4544-9488-fcf273547db0,Ranger,Check-up,2023-12-10 14:26:19,1019,1,Approved,FALSE,,PET-3385
0109562a-c2a2-4aa5-9ad0-de4d69936723,Rover,Vaccination,2024-01-30 14:26:19,1018,1,Approved,FALSE,Leyla Humphrey,PET-4015
01281fe3-c385-477a-bade-40a2e196d2e3,Ranger,Vaccination,2023-08-29 14:26:19,1008,1,Pending,FALSE,,PET-3385
012aada8-f4d9-41a1-b318-e5a8fa6cbb35,Gizmo,Check-up,2024-07-10 14:26:19,1008,1,Approved,FALSE,,PET-8971
013728bb-cd98-421c-9512-71ee9e3c412c,Prince,Check-up,2023-10-12 14:26:19,1008,1,Approved,TRUE,,PET-1525
013d34d6-63f6-4cae-86e6-01f8bcf3df3a,Rex,X-ray,2023-11-28 14:26:19,1005,1,Approved,FALSE,,PET-9289
01437dab-c431-4c28-9fab-ca2535e3b2c8,Harper,X-ray,2024-03-04 14:26:19,1000,2,Denied,FALSE,,PET-8260
